_id,Index_,ReportedYear,Category,Subtype,AssaultSubtype,Sex,AgeGroup,AgeCohort,Count_,ObjectId,geometry
184,NA,2014,Crimes Against the Person,Robbery,N/A,M,Adult,45-54,214,183,null
185,NA,2014,Crimes Against the Person,Robbery,N/A,M,Adult,55-64,113,184,null
186,NA,2014,Crimes Against the Person,Robbery,N/A,M,Adult,65+,85,185,null
187,NA,2014,Crimes Against the Person,Robbery,N/A,M,Child,<12,29,186,null
188,NA,2014,Crimes Against the Person,Robbery,N/A,M,Unknown,Unknown,29,187,null
189,NA,2014,Crimes Against the Person,Robbery,N/A,M,Youth,12-17,658,188,null
190,NA,2014,Crimes Against the Person,Robbery,N/A,U,Adult,25-34,2,189,null
191,NA,2014,Crimes Against the Person,Robbery,N/A,U,Adult,55-64,1,190,null
192,NA,2014,Crimes Against the Person,Robbery,N/A,U,Unknown,Unknown,1,191,null
193,NA,2014,Crimes Against the Person,Sexual Violation,N/A,F,Adult,18-24,478,192,null
194,NA,2014,Crimes Against the Person,Sexual Violation,N/A,F,Adult,25-34,358,193,null
195,NA,2014,Crimes Against the Person,Sexual Violation,N/A,F,Adult,35-44,155,194,null
196,NA,2014,Crimes Against the Person,Sexual Violation,N/A,F,Adult,45-54,102,195,null
197,NA,2014,Crimes Against the Person,Sexual Violation,N/A,F,Adult,55-64,43,196,null
198,NA,2014,Crimes Against the Person,Sexual Violation,N/A,F,Adult,65+,34,197,null
199,NA,2014,Crimes Against the Person,Sexual Violation,N/A,F,Child,<12,242,198,null
200,NA,2014,Crimes Against the Person,Sexual Violation,N/A,F,Unknown,Unknown,23,199,null
201,NA,2014,Crimes Against the Person,Sexual Violation,N/A,F,Youth,12-17,399,200,null
202,NA,2015,Crimes Against the Person,Assault,Other,F,Child,<12,296,201,null
203,NA,2015,Crimes Against the Person,Assault,Other,F,Unknown,Unknown,73,202,null
204,NA,2015,Crimes Against the Person,Assault,Other,F,Youth,12-17,510,203,null
205,NA,2015,Crimes Against the Person,Assault,Other,M,Adult,18-24,1256,204,null
206,NA,2015,Crimes Against the Person,Assault,Other,M,Adult,25-34,1700,205,null
207,NA,2015,Crimes Against the Person,Assault,Other,M,Adult,35-44,1218,206,null
208,NA,2015,Crimes Against the Person,Assault,Other,M,Adult,45-54,1305,207,null
209,NA,2015,Crimes Against the Person,Assault,Other,M,Adult,55-64,682,208,null
210,NA,2015,Crimes Against the Person,Assault,Other,M,Adult,65+,336,209,null
211,NA,2015,Crimes Against the Person,Assault,Other,M,Child,<12,470,210,null
212,NA,2015,Crimes Against the Person,Assault,Other,M,Unknown,Unknown,211,211,null
213,NA,2015,Crimes Against the Person,Assault,Other,M,Youth,12-17,544,212,null
214,NA,2015,Crimes Against the Person,Assault,Other,U,Adult,18-24,1,213,null
215,NA,2015,Crimes Against the Person,Assault,Other,U,Adult,45-54,1,214,null
216,NA,2015,Crimes Against the Person,Other,N/A,F,Adult,18-24,534,215,null
217,NA,2015,Crimes Against the Person,Other,N/A,F,Adult,25-34,859,216,null
218,NA,2015,Crimes Against the Person,Other,N/A,F,Adult,35-44,576,217,null
219,NA,2015,Crimes Against the Person,Other,N/A,F,Adult,45-54,409,218,null
220,NA,2015,Crimes Against the Person,Other,N/A,F,Adult,55-64,185,219,null
221,NA,2015,Crimes Against the Person,Other,N/A,F,Adult,65+,126,220,null
222,NA,2015,Crimes Against the Person,Other,N/A,F,Child,<12,64,221,null
